ID;Nom;Categorie;Description;Image URL;Poissons cibles;Technique;Difficulte;Materiel necessaire;Conseils;Etapes
palomar;Nœud Palomar;Ligne vers hameçon;Connexion très fiable pour fixer un hameçon, un anneau ou un leurre. La ligne doublée répartit la charge et convient particulièrement à la tresse.;assets/images/techniques_v2/palomar.webp;Bar, dorade, thon;Spinning, jigging, surfcasting;Facile;Tresse, nylon ou fluorocarbone;Gardez les deux brins parallèles et mouillez avant le serrage final.;Doublez environ 25 cm de ligne puis passez la boucle dans l’œillet.|Avec la ligne doublée, formez un nœud simple très lâche.|Faites ressortir la grande boucle sans vriller les deux brins.|Passez entièrement l’hameçon ou le leurre dans cette grande boucle.|Ramenez la boucle au-dessus de l’œillet et placez-la derrière l’hameçon.|Mouillez puis tirez ensemble sur le corps de ligne et le brin libre.|Vérifiez que les brins restent parallèles puis coupez l’excédent.
uni;Nœud Uni (Grinner);Ligne vers hameçon;Nœud polyvalent pour relier une ligne à un hameçon, un émerillon ou un leurre. Il fonctionne avec la plupart des monofilaments et des tresses.;assets/images/techniques_v2/uni.webp;Bar, congre, thon;Toutes techniques;Facile;Nylon, fluorocarbone ou tresse;Formez une grande boucle puis réalisez cinq à sept tours réguliers.;Passez le brin libre dans l’œillet et gardez 20 cm de réserve.|Repliez le brin libre pour former une grande boucle parallèle au corps de ligne.|Faites 5 à 7 tours dans la boucle autour des deux brins.|Mouillez et tirez sur le brin libre pour ranger les spires côte à côte.|Faites coulisser le nœud jusqu’à l’œillet puis serrez et coupez l’excédent.
improved-clinch;Nœud Clinch amélioré;Ligne vers hameçon;Connexion compacte pour hameçons, agrafes et petits leurres. Le dernier passage verrouille les spires autour du corps de ligne.;assets/images/techniques_v2/improved-clinch.webp;Dorade, sar, pageot;Surfcasting, pêche au posé;Facile;Nylon ou fluorocarbone;Faites cinq à sept tours sans chevaucher les spires.;Passez 15 à 20 cm de ligne dans l’œillet.|Enroulez le brin libre 5 à 7 fois autour du corps de ligne.|Repassez le brin libre dans la petite boucle juste au-dessus de l’œillet.|Passez ensuite ce brin dans la grande boucle qui vient de se former.|Mouillez, tirez progressivement sur le corps de ligne puis coupez l’excédent.
rapala;Nœud Rapala;Boucle terminale;Boucle non coulissante qui laisse un leurre dur ou un jig léger nager librement. Le diamètre de la boucle reste fixe après serrage.;assets/images/techniques_v2/rapala.webp;Bar, bonite, thon;Spinning, traîne légère;Moyen;Nylon ou fluorocarbone;Réglez la taille de la boucle avant de serrer les spires.;Formez un nœud simple lâche, passez le brin dans l’œillet puis revenez dans ce nœud.|Effectuez 3 tours réguliers autour du corps de ligne.|Repassez le brin dans le nœud simple puis dans la grande boucle nouvellement créée.|Mouillez et serrez sans fermer la petite boucle devant le leurre.
blood;Nœud de sang;Raccord de lignes;Raccord symétrique pour deux monofilaments de diamètres proches. Les spires opposées se bloquent au centre.;assets/images/techniques_v2/blood.webp;Toutes espèces;Bas de ligne, pêche à la mouche;Moyen;Deux nylons ou fluorocarbones proches;Réalisez le même nombre de tours de chaque côté puis serrez humide.;Croisez les deux lignes sur 15 cm et maintenez leur point de rencontre.|Enroulez le premier brin libre 5 à 7 fois autour de la ligne opposée.|Ramenez ce brin au centre et passez-le dans l’ouverture entre les deux lignes.|Enroulez l’autre brin 5 à 7 fois dans le sens opposé.|Passez ce second brin dans la même ouverture centrale, en direction opposée au premier.|Mouillez puis tirez lentement sur les deux corps de ligne pour rapprocher les spires.|Coupez les deux brins libres à quelques millimètres.|Contrôlez que les deux séries de spires sont symétriques et bien jointives.
albright;Nœud Albright;Raccord de lignes;Raccord compact pour unir une ligne fine à un bas de ligne plus épais. Il convient aux matériaux et diamètres différents.;assets/images/techniques_v2/albright.webp;Bar, maigre, thon;Spinning, surfcasting, traîne;Moyen;Tresse avec nylon ou fluorocarbone;Le brin fin doit entrer et ressortir du même côté de la boucle épaisse.;Formez une boucle avec le fil le plus épais et passez le fil fin à travers.|Enroulez le fil fin 8 à 12 fois autour des deux branches de la boucle.|Revenez vers l’entrée en gardant chaque spire serrée contre la précédente.|Repassez le brin fin dans la boucle du même côté que son entrée.|Mouillez puis tirez progressivement sur les lignes principales pour ranger les spires.|Serrez fermement et coupez les deux brins libres au ras du nœud.
fg;Nœud FG;Raccord big game;Raccord très fin dans lequel la tresse alterne sous tension autour du leader. Il traverse bien les anneaux pour les longs bas de ligne.;assets/images/techniques_v2/fg.webp;Thon, sériole, maigre;Jigging, popping, spinning;Difficile;Tresse et fluorocarbone ou nylon;Maintenez une forte tension pendant les croisements et terminez par des demi-clés.;Mettez le bas de ligne en fluorocarbone sous forte tension et croisez la tresse dessus.|Alternez la tresse à gauche puis à droite du fluorocarbone pour créer 16 à 22 croisements serrés.|Tendez la tresse après chaque croisement afin que les spires mordent le fluorocarbone.|Bloquez le tressage avec une demi-clé autour de la tresse et du fluorocarbone.|Réalisez une seconde demi-clé en sens opposé puis serrez très fortement les deux lignes.|Le fluorocarbone doit présenter une légère marque sous les spires sans être écrasé.|Coupez le fluorocarbone au plus près sans entamer la tresse.|Terminez par 3 à 5 demi-clés alternées autour de la tresse seule puis coupez l’excédent.
dropper-loop;Boucle de potence;Boucle latérale;Boucle perpendiculaire au corps de ligne pour présenter un hameçon latéral sans émerillon. Adaptée aux montages multi-appâts.;assets/images/techniques_v2/dropper-loop.webp;Dorade, sar, pageot, sole;Surfcasting, paternoster;Moyen;Nylon ou fluorocarbone;Gardez les tours jointifs puis faites passer la boucle au centre.;Formez une grande boucle au milieu du bas de ligne.|Faites tourner le point de croisement 5 à 8 fois sans vriller la future potence.|Passez la boucle initiale dans l’ouverture centrale créée par les tours.|Mouillez puis tirez simultanément sur les deux extrémités et sur la potence.
three-way-swivel-rig;Montage émerillon trois voies;Montage terminal;Montage à trois directions séparant la ligne principale, le plomb et le bas de ligne. Il limite les emmêlements au lancer et dans le courant.;assets/images/techniques_v2/three-way-swivel-rig.webp;Dorade, congre, pageot;Surfcasting, pêche au posé;Facile;Émerillon trois voies, plomb, bas de ligne;Adaptez la longueur du bas de ligne au courant et contrôlez chaque connexion.;Fixez le corps de ligne à l’anneau supérieur de l’émerillon trois voies.|Utilisez un Uni ou un Clinch adapté au diamètre de la ligne.|Serrez le premier nœud et contrôlez que l’anneau reste libre.|Fixez le bas de ligne de l’hameçon sur l’anneau latéral.|Serrez ce second nœud puis coupez son excédent.|Montez le plomb sur une empile plus courte reliée à l’anneau inférieur.|Ajoutez l’hameçon ou le leurre au bout du bas de ligne latéral.|Vérifiez que les trois branches pivotent librement et ne peuvent pas se croiser.
yucatan;Nœud Yucatan;Raccord de lignes;Raccord rapide entre une ligne doublée et un leader plus fort. Très utile quand un raccord robuste doit être réalisé en mer.;assets/images/techniques_v2/yucatan.webp;Thon, bonite, sériole;Jigging, traîne, big game;Moyen;Ligne doublée et leader mono ou fluoro;Les deux extrémités du leader doivent sortir ensemble avant le serrage.;Doublez 20 cm de ligne principale et placez le bas de ligne contre cette boucle.|Enroulez la ligne doublée autour du bas de ligne 4 à 6 fois en nylon ou 8 à 10 fois en tresse.|Passez le brin du bas de ligne dans l’extrémité de la boucle doublée.|Mouillez et tirez sur le bas de ligne ainsi que sur les deux branches de la ligne doublée.|Rapprochez les spires jusqu’à former un cylindre compact et régulier.|Coupez les excédents seulement après un test de traction ferme.
