ID;Nombre;Categoría;Descripción;Imagen URL;Peces objetivo;Técnica;Dificultad;Material necesario;Consejos;Etapes
palomar;Nudo Palomar;Línea a anzuelo;Conexión fiable para anzuelos, anillas y señuelos. La línea doble reparte la carga y resulta especialmente adecuada para trenzado.;assets/images/techniques_v2/palomar.webp;Lubina, dorada, atún;Spinning, jigging, surfcasting;Fácil;Trenzado, nailon o fluorocarbono;Mantenga los dos cabos paralelos y moje antes del apriete final.;Dobla unos 25 cm de línea y pasa el lazo por el ojal.|Haz un nudo simple muy flojo con la línea doble.|Saca el lazo grande sin retorcer los dos cabos.|Pasa todo el anzuelo o señuelo por el lazo grande.|Lleva el lazo sobre el ojal y detrás del anzuelo.|Humedece y tira a la vez de la línea madre y del cabo libre.|Comprueba que ambos cabos queden paralelos y corta el sobrante.
uni;Nudo Uni (Grinner);Línea a anzuelo;Nudo versátil para unir la línea a un anzuelo, emerillón o señuelo. Funciona con la mayoría de monofilamentos y trenzados.;assets/images/techniques_v2/uni.webp;Lubina, congrio, atún;Todas las técnicas;Fácil;Nailon, fluorocarbono o trenzado;Forme un bucle grande y haga de cinco a siete vueltas uniformes.;Pasa el cabo por el ojal y deja unos 20 cm.|Dobla el cabo para formar un lazo grande paralelo a la línea madre.|Da de 5 a 7 vueltas dentro del lazo alrededor de ambos cabos.|Humedece y tira del cabo para ordenar las vueltas.|Desliza el nudo hasta el ojal, aprieta y corta el sobrante.
improved-clinch;Nudo Clinch mejorado;Línea a anzuelo;Conexión compacta para anzuelos, grapas y señuelos pequeños. El paso final bloquea las espiras sobre la línea principal.;assets/images/techniques_v2/improved-clinch.webp;Dorada, sargo, breca;Surfcasting, pesca de fondo;Fácil;Nailon o fluorocarbono;Haga de cinco a siete vueltas sin superponer las espiras.;Pasa de 15 a 20 cm de línea por el ojal.|Enrolla el cabo de 5 a 7 veces alrededor de la línea madre.|Pasa el cabo por el lazo pequeño situado junto al ojal.|Pásalo después por el lazo grande que acaba de formarse.|Humedece, tira progresivamente de la línea madre y corta el sobrante.
rapala;Nudo Rapala;Bucle terminal;Bucle no corredizo que deja nadar libremente a señuelos duros y jigs ligeros. Su diámetro queda fijo tras el apriete.;assets/images/techniques_v2/rapala.webp;Lubina, bonito, atún;Spinning, curricán ligero;Medio;Nailon o fluorocarbono;Ajuste el tamaño del bucle antes de apretar las espiras.;Haz un nudo simple flojo, pasa el cabo por el ojal y vuelve a introducirlo en el nudo.|Da 3 vueltas regulares alrededor de la línea madre.|Pasa el cabo por el nudo simple y luego por el nuevo lazo grande.|Humedece y aprieta sin cerrar el pequeño lazo delante del señuelo.
blood;Nudo de sangre;Empalme de líneas;Empalme simétrico para dos monofilamentos de diámetro parecido. Las espiras opuestas se bloquean en el centro.;assets/images/techniques_v2/blood.webp;Todas las especies;Bajos de línea, pesca a mosca;Medio;Dos líneas de nailon o fluoro similares;Use el mismo número de vueltas en ambos lados y apriete mojado.;Solapa las dos líneas unos 15 cm y sujeta el cruce.|Enrolla el primer cabo de 5 a 7 veces sobre la línea opuesta.|Lleva ese cabo al centro y pásalo por el hueco entre las líneas.|Enrolla el otro cabo de 5 a 7 veces en sentido contrario.|Pasa el segundo cabo por el mismo hueco central en dirección opuesta.|Humedece y tira lentamente de las dos líneas madres.|Corta ambos cabos a pocos milímetros.|Comprueba que las dos series de vueltas sean simétricas y compactas.
albright;Nudo Albright;Empalme de líneas;Empalme compacto entre una línea fina y un bajo más grueso. Admite materiales y diámetros diferentes.;assets/images/techniques_v2/albright.webp;Lubina, corvina, atún;Spinning, surfcasting, curricán;Medio;Trenzado con nailon o fluorocarbono;El cabo fino debe entrar y salir por el mismo lado del bucle grueso.;Forma un lazo con la línea gruesa y pasa por él la línea fina.|Enrolla la línea fina de 8 a 12 veces alrededor de las dos ramas del lazo.|Vuelve hacia la entrada manteniendo cada vuelta pegada a la anterior.|Pasa el cabo fino por el lazo por el mismo lado por el que entró.|Humedece y tira progresivamente de las líneas madres.|Aprieta con firmeza y corta ambos cabos cerca del nudo.
fg;Nudo FG;Empalme big game;Empalme de fricción muy fino donde el trenzado tenso alterna alrededor del bajo. Pasa bien por las anillas con bajos largos.;assets/images/techniques_v2/fg.webp;Atún, serviola, corvina;Jigging, popping, spinning;Difícil;Trenzado y fluorocarbono o nailon;Mantenga mucha tensión en cada cruce y termine con medios cotes.;Mantén el bajo de fluorocarbono muy tenso y cruza la trenza por encima.|Alterna la trenza a izquierda y derecha para crear de 16 a 22 cruces apretados.|Tensa la trenza después de cada cruce para que muerda el fluorocarbono.|Bloquea con un medio nudo alrededor de la trenza y el fluorocarbono.|Haz otro medio nudo en sentido contrario y tira con mucha fuerza.|El fluorocarbono debe quedar ligeramente marcado sin aplastarse.|Corta el fluorocarbono al ras sin dañar la trenza.|Termina con 3 a 5 medios nudos alternos sobre la trenza y corta.
dropper-loop;Bucle Dropper;Bucle lateral;Bucle perpendicular en la línea principal para presentar un anzuelo lateral sin emerillón. Adecuado para montajes con varios cebos.;assets/images/techniques_v2/dropper-loop.webp;Dorada, sargo, breca, lenguado;Surfcasting, paternoster;Medio;Nailon o fluorocarbono;Mantenga juntas las vueltas y pase el bucle por su centro.;Forma un lazo grande en el punto elegido del bajo.|Gira el cruce de 5 a 8 veces sin retorcer la futura brazolada.|Pasa el lazo original por la abertura central creada por las vueltas.|Humedece y tira a la vez de ambos extremos y de la brazolada.
three-way-swivel-rig;Montaje con emerillón triple;Montaje terminal;Montaje de tres direcciones que separa línea principal, plomo y bajo. Reduce enredos durante el lance y con corriente.;assets/images/techniques_v2/three-way-swivel-rig.webp;Dorada, congrio, breca;Surfcasting, pesca de fondo;Fácil;Emerillón triple, plomo y bajo;Adapte la longitud del bajo a la corriente y revise cada conexión.;Ata la línea madre al ojal superior del emerillón de tres vías.|Usa un Uni o Clinch adecuado al diámetro.|Aprieta el primer nudo y comprueba que el ojal gire libremente.|Ata el bajo del anzuelo al ojal lateral.|Aprieta el segundo nudo y corta el sobrante.|Monta el plomo en una brazolada más corta unida al ojal inferior.|Añade el anzuelo o señuelo al extremo del bajo lateral.|Comprueba que las tres ramas giren libres y no se crucen.
yucatan;Nudo Yucatan;Empalme de líneas;Empalme rápido entre una línea doblada y un bajo más fuerte. Útil para hacer una conexión robusta en el mar.;assets/images/techniques_v2/yucatan.webp;Atún, bonito, serviola;Jigging, curricán, big game;Medio;Línea doblada y bajo mono o fluoro;Los dos extremos del bajo deben salir juntos antes de apretar.;Dobla 20 cm de línea madre y coloca el bajo junto a la línea doble.|Enrolla la línea doble 4 a 6 veces con monofilamento u 8 a 10 con trenza.|Pasa el cabo del bajo por el extremo del lazo doble.|Humedece y tira del bajo y de las dos ramas de la línea doble.|Junta las vueltas hasta formar un cilindro compacto y regular.|Corta los sobrantes solo después de una prueba de tracción firme.
snell;Nudo Snell;Línea a anzuelo;Fijación alineada a lo largo de la pata, especialmente útil con anzuelos circulares. La tracción queda en el eje del anzuelo.;assets/images/techniques_v2/snell.webp;Dorada, atún, pez espada;Curricán, palangre, pesca de fondo;Medio;Nailon o fluorocarbono y anzuelo con ojo;En anzuelos circulares, lleve la línea principal hacia la punta.;Pasa la línea por el ojal desde el lado de la punta y deja un lazo grande.|Alinea la línea madre a lo largo de la pata del anzuelo.|Sujeta el lazo y empieza a enrollarlo alrededor de la pata y la línea.|Da de 6 a 8 vueltas juntas hacia la curva.|Mantén cada vuelta plana y sin solapamientos.|Humedece y tira de la línea madre para cerrar el lazo.|Comprueba que la línea salga alineada con la pata del anzuelo.
perfection-loop;Bucle perfecto;Bucle terminal;Bucle fijo y alineado para bajos, grapas y conexiones bucle a bucle.;assets/images/techniques_v2/perfection-loop.webp;Lubina, abadejo, dorada;Spinning, mosca, bajos;Medio;Nailon o fluorocarbono;Sujete el bucle pequeño entre los dedos durante el paso final.;Forma un primer lazo pasando el cabo por detrás de la línea madre.|Forma un segundo lazo delante del primero sin apretar.|Coloca el cabo entre los dos lazos.|Pasa el primer lazo por el segundo mientras sujetas el cabo.|Humedece, aprieta tirando del lazo y de la línea madre y corta.
bimini-twist;Bimini Twist;Doble línea big game;Crea un bucle largo de línea doble conservando gran resistencia. Base clásica de los bajos para curricán de altura.;assets/images/techniques_v2/bimini-twist.webp;Marlín, pez espada, atún;Curricán de altura, big game;Difícil;Nailon o trenzado y punto de apoyo;Mantenga tensión constante y reparta las torsiones antes de los cotes finales.;Dobla la línea para crear un lazo grande y realiza de 20 a 30 torsiones.|Mantén el lazo abierto y tenso para que las torsiones bajen.|Pon el cabo a 90 grados y deja que vuelva en espiral sobre las torsiones.|Bloquea primero con un medio nudo sobre una rama del lazo.|Haz después un medio nudo alrededor de las dos ramas.|Repite el bloqueo y termina con 3 a 5 vueltas de acabado.|Aprieta cada cierre por separado y corta sin dañar la línea doble.
san-diego-jam;Nudo San Diego Jam;Línea a anzuelo;Nudo terminal potente popularizado por pescadores de atún. Varias espiras aprietan sobre dos cabos paralelos.;assets/images/techniques_v2/san-diego-jam.webp;Atún, serviola, bonito;Jigging, curricán, lance pesado;Medio;Nailon, fluorocarbono o trenzado;Use menos vueltas con diámetros gruesos y moje antes de apretar.;Pasa el cabo por el ojal y dóblalo paralelo a la línea madre.|Enrolla el cabo de 5 a 7 veces alrededor de ambas líneas hacia el ojal.|Pasa el cabo por el lazo pequeño junto al ojal.|Pásalo después por el lazo grande situado encima de las vueltas.|Humedece y aprieta tirando alternativamente de la línea y del cabo.|Desliza el nudo hasta el ojal y corta el sobrante.
offshore-swivel;Nudo Offshore Swivel;Conexión big game;Une una línea doble a un emerillón pesado. El emerillón atraviesa varias veces el bucle antes del apriete.;assets/images/techniques_v2/offshore-swivel.webp;Marlín, pez espada, atún;Curricán de altura, big game;Difícil;Línea doble y emerillón reforzado;Realice de tres a seis pasadas según el diámetro y apriete de forma uniforme.;Dobla la línea y pasa el lazo por el ojal del emerillón.|Abre bien el lazo y pasa el emerillón a través de él.|Gira el emerillón de 4 a 6 veces dentro del lazo manteniendo los cabos paralelos.|Humedece y tira de la línea doble para asentar las torsiones.|Aprieta con firmeza y comprueba que ambas ramas soporten la carga por igual.
