ID;Nom;Nom scientifique;Famille;Photo URL;Region;Habitat;Taille min (cm);Taille max (cm);Poids min (kg);Poids max (kg);Saison;Techniques et appats;Description;Conseils;Reglementation
bar-europeen;Bar européen (Loup);Dicentrarchus labrax;Moronidae;https://images.pexels.com/photos/14062103/pexels-photo-14062103.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Côtes rocheuses, estuaires, ports, plages sableuses. Évolue entre la surface et 30m de profondeur.";25;100;0.5;10;"Toute l'année, meilleur d'octobre à mars. Fray en hiver.";"Surfcasting - Pêche de nuit sur les plages de sable. Lancer loin au-delà des barres. [Couteau: Appât roi du bar en surfcasting. Plante sur la hampe. | Crabe vert: Très efficace en hiver, présent sur les rochers. | Ver marin (néréide): Excellent en montage coulissant.] ;; Spinning - Recherche active le long des rochers et digues. [Leurre dur (minnow): Imitation de poissonnet, nage ondulante. | Leurre souple (shad): Montage tête plombée, pêche en diagonale. | Stickbait: Pêche de surface, marche le chien.] ;; Leurre - Pêche aux leurres de surface au lever du jour. [Popper: Bruit de surface, déclenche l'agressivité. | Jerkbait: Nage erratique, tirées sèches.]";"Le bar européen (appelé loup en Méditerranée) est le poisson roi de la pêche en mer du bord. Prédateur actif, il chasse en meute et suit les bancs de proies. Ses flancs argentés et sa ligne latérale marquée en font un poisson élégant. Il est présent sur toutes les côtes françaises, de la Manche à la Méditerranée.";Privilégiez la pêche de nuit et à l'aube. Les sortants (courants qui quittent la côte) sont les plus productifs. Le vent d'ouest apporte les bars sur les plages. Utilisez du fluoro pour la discrétion.;Taille minimale : 42cm ( Atlantique) / 36cm (Méditerranée). Fermeture du 15 janvier au 15 mars en Méditerranée. Pas de fermeture en Atlantique. Quota : 2 bars/jour/pêcheur.
dorade-royale;Dorade royale;Sparus aurata;Sparidae;https://images.pexels.com/photos/19993434/pexels-photo-19993434/free-photo-of-fish-on-white-background.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée;"Fonds sableux, herbiers de posidonie, lagunes côtières. De la surface à 30m.";20;70;0.3;7;Toute l'année. Meilleure d'avril à juin et septembre à novembre.;"Surfcasting - Montage pater-noster sur fonds sableux. [Couteau: Appât numéro 1 pour la dorade. | Crabe vert: Efficace en automne. | Arenicole: Ver marin très attractif.] ;; Pater-noster - Montage sur patte avec empiles courtes. [Moule: Naturel et gratuit, ramassé sur les rochers. | Couteau: Le must en Méditerranée.] ;; Pêche au coup - Pêche fine en bateau ou du bord sur fonds de 5-15m. [Vers marins: Néréides et arénicoles enfilées. | Crevette: Vivante ou morte, montage léger.]";"La dorade royale est le joyau de la Méditerranée. Reconnaissable à sa bande dorée entre les yeux, c'est un poisson méfiant et combatif. Elle affectionne les fonds sableux près des herbiers. Sa chair fine et délicate en fait l'un des poissons les plus prisés.";"La dorade est très méfiante : fluoro obligatoire, montage discret. Les heures fraîches (lever du jour, tombée de la nuit) sont les plus productives. Eschez petit et naturellement. Un scion souple permet de voir les touches fines.";Taille minimale : 20cm en Méditerranée. Pas de fermeture spécifique. Attention aux zones Natura 2000.
maigre;Maigre (Corb);Argyrosomus regius;Sciaenidae;https://images.pexels.com/photos/10112459/pexels-photo-10112459.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Estuaires, embouchures, plages profondes. De 5m à 100m.";30;180;1;50;Mai à octobre. Meilleur de juin à août dans les estuaires.;"Surfcasting - Recherche dans les courants d'estuaire, lancer lourd. [Sardine entière: Appât de choix pour les gros maigres. | Chinchard vivant: Appât vivant très sélectif. | Couteau: Efficace pour les maigres de taille moyenne.] ;; Spinning - Recherche active dans les courants avec des leurres de taille. [Leurre dur (minnow 130mm+): Imitation de proie de taille. | Leurre souple (shad 20cm): Pêche en profondeur dans les courants. | Metal jig: Jigging vertical dans les fosses.] ;; Jigging - Jigging vertical au large des embouchures. [Jig métallique 80-200g: Jigging à verticale dans les zones profondes.]";"Le maigre (ou corb) est le géant des côtes françaises. Ce poisson puissant peut dépasser 1,50m et 40kg. Il remonte les estuaires en été pour se nourrir. Ses crocs et sa puissance en font un adversaire redoutable. Il produit des sons (grognements) caractéristiques.";"Les estuaires (Gironde, Loire) sont les spots incontournables. Pêchez les marées montantes. Les maigres suivent les bancs de proies, repérez les chasses en surface. Un matériel robuste est indispensable (canne 30-50 lbs).";"Taille minimale : 70cm en Atlantique, 30cm en Méditerranée. Pas de fermeture. Attention : espèce de plus en plus rare, pratiquez le no-kill quand c'est possible."
sar-commun;Sar commun;Diplodus sargus;Sparidae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée;"Rochers, digues, ports, tombants. De 0 à 30m.";15;45;0.2;2;Toute l'année. Meilleur en automne et hiver.;"Surfcasting - Pêche à courte distance près des rochers. [Crabe vert: L'appât roi du sar. | Couteau: Très efficace en hiver.] ;; Pater-noster - Montage léger au pied des digues. [Bout de moule: Naturel et très prisé. | Ver marin: Montage fin avec petit hameçon.] ;; Pêche au coup - Pêche fine au port ou sur les digues. [Crevette vivante: Irrésistible pour les sars. | Morceau de crabe: Efficace en hiver.]";"Le sar commun est l'un des sparidés les plus courants en Méditerranée. Reconnaissable à ses bandes verticales noires, il vit en groupe près des rochers. Poisson omnivore, il se nourrit de crustacés, mollusques et algues. Sa combativité est surprenante pour sa taille.";"Les sars sont très méfiants. Pêchez fin : fluoro 20/100 maximum, hameçons de taille 4 à 6. Eschez petit. Les zones encombrées (rochers, digues) sont les plus productives mais risque de casse.";Taille minimale : 15cm en Méditerranée. Pas de fermeture.
dorade-grise;Dorade grise (Griset);Spondyliosoma cantharus;Sparidae;https://images.pexels.com/photos/33654184/pexels-photo-33654184/free-photo-of-fresh-bream-display-at-seafood-market.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Fonds rocheux, herbiers, épaves. De 5 à 50m.";15;60;0.2;3;Toute l'année. Meilleur en hiver et printemps.;"Surfcasting - Recherche sur fonds mixtes sable/roche. [Crabe vert: Appât principal pour la dorade grise. | Couteau: Efficace en période froide. | Ver néréide: Bon complément.] ;; Pater-noster - Montage léger sur fonds de roche. [Moule: Très naturel et efficace. | Crabe: Leurre classique du griset.] ;; Pêche au coup - Pêche fine en bateau sur les herbiers. [Vers marins mélangés: Amorce + esche pour maximiser les touches.]";"La dorade grise (ou griset) est un sparidé trapu au corps gris-bleu. Elle affectionne les fonds rocheux et les herbiers. Moins prestigieuse que la dorade royale, elle offre néanmoins de belles parties de pêche et une chair agréable. Elle se pêche toute l'année avec des appâts naturels.";"La dorade grise mord souvent de façon très discrète. Surveillez le scion et ferrerez au moindre signal. Les périodes de courant sont les plus actives. Crabe vert esché entier en hiver, découpé en été.";Taille minimale : 15cm. Pas de fermeture.
mulet;Mulet lippu;Chelon labrosus;Mugilidae;https://images.pexels.com/photos/19224095/pexels-photo-19224095/free-photo-of-close-up-of-a-pile-of-freshly-caught-fish.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Ports, estuaires, lagunes, côtes sableuses. De 0 à 10m.";20;60;0.3;3;Toute l'année. Très actif en été.;"Pêche au coup - Pêche à la plombée ou au flotteau avec amorce. [Pain / mie de pain: Appât traditionnel du mulet. | Pâte de poisson: Amorce très attractive. | Vers marins: Efficace en période froide.] ;; Pêche à la bombe - Pêche à la bombe avec amorce concentrée. [Bombe au pain: Mélange pain/son concentré.] ;; Surfcasting - Pêche dans les estuaires et sur les plages. [Vers marins: Montage classique avec empile longue. | Crevette: Vivante de préférence.]";"Le mulet lippu est un poisson grégaire très commun dans les zones côtières et portuaires. Reconnaissable à sa lèvre épaisse, il se nourrit de micro-organismes et d'algues. Sa pêche est technique car il a tendance à voler l'esche sans se piquer. Excellent combattant, il fait de belles courses sous la canne.";Amorcez généreusement pour maintenir le banc. Eschez petit et ajustez la profondeur. Les mulets sont méfiants : discrétion absolue. Un flotteau très sensible (waggler) permet de voir les touches infimes.;Taille minimale : 20cm. Pas de fermeture.
sardine;Sardine;Sardina pilchardus;Clupeidae;https://images.pexels.com/photos/20121102/pexels-photo-20121102/free-photo-of-close-up-of-fish.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Pélagique, bancs en surface et mi-eau. Côtes et au large.";10;25;0.02;0.15;Mai à octobre. Meilleur en été.;"Pêche au coup - Pêche à la plombée ou au flotteau avec amorce. [Pâte de sardine: Amorce locale très attractive. | Vers fins: Esche légère montée sur hameçon 12-14.] ;; Pêche à la bombe - Pêche à la bombe, très productive en été. [Bombe farine de poisson: Nuage attractif en surface.]";"La sardine est le poisson emblématique des côtes méditerranéennes et atlantiques. Ce petit pélagique évolue en bancs immenses et est la base de la chaîne alimentaire marine. Elle se pêche facilement du bord en été et constitue aussi un excellent appât pour les prédateurs (bar, maigre, thon).";"Amorcez en surface pour concentrer le banc. Pêchez très fin : hameçons 12-14, fil fin. Les soirs d'été, les sardines entrent dans les ports. Leur pêche est conviviale et productive.";Taille minimale : 11cm. Pas de fermeture.
thon-rouge;Thon rouge;Thunnus thynnus;Scombridae;https://images.pexels.com/photos/35443147/pexels-photo-35443147.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Grand large, approche les côtes en été. Pélagique, de la surface à 200m.";60;300;5;400;Juin à octobre. Approche les côtes en été.;"Spinning - Pêche exaltante du bord quand les thons approchent. [Leurre stickbait grand modèle: Imitation de proie, pêche en surface. | Popper géant: Pêche explosive en surface. | Leurre souple gros shad: Pêche en profondeur sous les bancs.] ;; Jigging - Jigging vertical sur les bancs au large. [Jig métallique 100-300g: Pêche profonde et technique.] ;; Appât vivant - Pêche au vif avec un gros appât. [Chinchard vivant: Appât de choix pour le thon du bord. | Sardine vivante: Montage dérive sous un flotteur.]";"Le thon rouge est le roi des mers. Ce géant pélagique peut dépasser 3 mètres et 400 kg. Il approche les côtes en été pour se nourrir, offrant des opportunités de pêche exaltantes du bord. Sa vitesse (jusqu'à 70 km/h) et sa puissance en font l'un des poissons les plus sportifs à capturer.";"Les thons approchent les côtes sur les mêmes zones que les bars mais en plus profond. Matériel lourd indispensable : canne 50-80 lbs, tresse 50/100 minimum. Les levés de jour avec peu de vent sont les meilleurs moments.";"Taille minimale : 115cm (30kg) en Atlantique, 70cm en Méditerranée. Pêche très réglementée : licences spécifiques, quotas stricts. Renseignez-vous sur les arrêtés en vigueur."
bonite;Bonite à dos rayé;Sarda sarda;Scombridae;https://images.pexels.com/photos/13805808/pexels-photo-13805808.jpeg?auto=compress&cs=tinysrgb&w=600;Méditerranée & Atlantique;"Pélagique, bancs en surface. Approche les côtes en été.";30;80;1;8;Juin à octobre. Meilleur juillet-août.;"Spinning - Recherche active quand les bancs chassent en surface. [Leurre dur (minnow): Vitesse de récupération rapide. | Leurre souple (shad): Pêche sous les chasses. | Metal jig léger: Lancer au milieu du banc.] ;; Traîne - Traîne légère du bord ou en bateau. [Leurre de traîne: Rapide, imitant un poissonnet en fuite.] ;; Jigging - Jigging sous les chasses au petit metal jig. [Jig 20-60g: Récupération rapide et saccadée.]";"La bonite est un petit thonidé très actif en été. Elle chasse en banc à la surface, créant des chasses spectaculaires. Sa chair rouge et savoureuse en fait un excellent poisson de table. Moins puissante que le thon rouge, elle reste un combattant sportif sur matériel léger.";"Repérez les chasses en surface (mouettes plongeantes, eau qui bouillonne). Lancez au cœur de l'action. Récupération rapide obligatoire. Matériel spinning 10-30g suffit largement.";Taille minimale : 40cm en Atlantique. Pas de fermeture spécifique.
lieu-jaune;Lieu jaune;Pollachius pollachius;Gadidae;https://images.pexels.com/photos/2042564/pexels-photo-2042564.jpeg?auto=compress&cs=tinysrgb&w=600;Océan Atlantique;"Rochers, épaves, tombants. De 5 à 100m.";30;130;1;15;Toute l'année. Meilleur d'octobre à avril.;"Spinning - Pêche aux leurres sur les zones rocheuses. [Leurre dur (minnow): Imitation de poissonnet en nage erratique. | Leurre souple (shad): Montage tête plombée sur les tombants. | Jerkbait: Tirées agressives pour déclencher l'attaque.] ;; Jigging - Jigging vertical sur les épaves et tombants. [Jig métallique 40-150g: Pêche profonde sur les structures. | Leurre souple gros modèle: Montage lourd sur les épaves profondes.] ;; Surfcasting - Pêche de nuit sur les plages rocheuses. [Sardine en morceaux: Appât de fond très attractif. | Chinchard: Entier ou en morceaux.]";"Le lieu jaune est un gadidé puissant très présent sur les côtes atlantiques. Il affectionne les zones rocheuses et les épaves où il chasse en meute. Sa mâchoire proéminente et sa nageoire anale caractéristique le distinguent du lieu noir. Excellent combattant, il est très recherché en pêche sportive.";"Le lieu jaune est un prédateur actif. Pêchez en mouvement, prospectez. Les tombants et les épaves sont ses postes de chasse favoris. Le jigging est la technique reine pour les gros spécimens.";Taille minimale : 30cm. Pas de fermeture.
