ID;Name;Category;Description;Image URL;Target Fish;Technique;Difficulty;Required Material;Tips;Etapes
palomar;Palomar Knot;Line-to-hook;A dependable connection for hooks, rings and lures. The doubled line spreads the load and is especially suitable for braid.;assets/images/techniques_v2/palomar.webp;Sea bass, bream, tuna;Spinning, jigging, surfcasting;Easy;Braid, mono or fluorocarbon;Keep both strands parallel and wet the knot before final tightening.;Double about 25 cm of line and pass the loop through the eye.|Tie a very loose overhand knot with the doubled line.|Draw out the large loop without twisting the two strands.|Pass the entire hook or lure through the large loop.|Bring the loop over the eye and behind the hook.|Wet the knot and pull the standing line and tag together.|Check that both strands remain parallel, then trim the tag.
uni;Uni Knot (Grinner);Line-to-hook;A versatile knot for attaching line to a hook, swivel or lure. It works with most monofilament and braided lines.;assets/images/techniques_v2/uni.webp;Sea bass, conger, tuna;All techniques;Easy;Mono, fluorocarbon or braid;Make a large loop and form five to seven even turns.;Pass the tag through the eye and leave about 20 cm.|Fold the tag back to form a large loop parallel to the standing line.|Make 5 to 7 turns inside the loop around both strands.|Wet the knot and pull the tag so the coils sit side by side.|Slide the knot to the eye, tighten, and trim the tag.
improved-clinch;Improved Clinch Knot;Line-to-hook;A compact connection for hooks, clips and small lures. The final pass locks the wraps around the standing line.;assets/images/techniques_v2/improved-clinch.webp;Bream, seabream, pandora;Surfcasting, bottom fishing;Easy;Mono or fluorocarbon;Make five to seven turns without overlapping the wraps.;Pass 15 to 20 cm of line through the eye.|Wrap the tag 5 to 7 times around the standing line.|Feed the tag through the small loop directly above the eye.|Then pass the tag through the large loop that has just formed.|Wet the knot, pull the standing line gradually, and trim the tag.
rapala;Rapala Knot;Terminal loop;A non-slip loop that lets hard lures and light jigs move freely. The loop diameter remains fixed after tightening.;assets/images/techniques_v2/rapala.webp;Sea bass, bonito, tuna;Spinning, light trolling;Medium;Mono or fluorocarbon;Set the loop size before tightening the wraps.;Tie a loose overhand knot, pass the tag through the lure eye, then back through the knot.|Make 3 even turns around the standing line.|Pass the tag back through the overhand knot and then through the new large loop.|Wet and tighten while keeping the small loop in front of the lure open.
blood;Blood Knot;Line connection;A symmetrical join for two monofilaments of similar diameter. The opposing wraps lock together at the centre.;assets/images/techniques_v2/blood.webp;All species;Leader building, fly fishing;Medium;Two similar mono or fluoro lines;Use the same number of turns on both sides and tighten wet.;Overlap the two lines by 15 cm and hold their crossing point.|Wrap the first tag 5 to 7 times around the opposite line.|Bring that tag back to the center and through the gap between the lines.|Wrap the other tag 5 to 7 times in the opposite direction.|Feed the second tag through the same center gap in the opposite direction.|Wet the knot and slowly pull both standing lines to bring the coils together.|Trim both tags a few millimeters from the knot.|Check that both sets of coils are symmetrical and tightly packed.
albright;Albright Knot;Line connection;A compact join between a thin main line and a thicker leader. It suits different materials and diameters.;assets/images/techniques_v2/albright.webp;Sea bass, meagre, tuna;Spinning, surfcasting, trolling;Medium;Braid with mono or fluorocarbon;The thin tag must enter and leave on the same side of the heavy-line loop.;Make a loop in the thicker line and pass the thinner line through it.|Wrap the thin line 8 to 12 times around both legs of the loop.|Work back toward the entry point, keeping every wrap snug.|Feed the thin tag back through the loop on the same side where it entered.|Wet and pull the standing lines gradually to align the wraps.|Tighten firmly and trim both tags close to the knot.
fg;FG Knot;Big-game connection;A very slim friction connection where tensioned braid alternates around the leader. It passes cleanly through guides with long leaders.;assets/images/techniques_v2/fg.webp;Tuna, amberjack, meagre;Jigging, popping, spinning;Difficult;Braid and fluorocarbon or mono;Keep strong tension through every crossing and finish with half hitches.;Hold the fluorocarbon leader under firm tension and cross the braid over it.|Alternate the braid left and right around the leader to make 16 to 22 tight crossings.|Tension the braid after every crossing so the wraps bite into the leader.|Lock the weave with a half hitch around both the braid and leader.|Tie a second half hitch in the opposite direction and pull both lines very firmly.|The leader should show a light impression under the wraps without being crushed.|Trim the leader flush without damaging the braid.|Finish with 3 to 5 alternating half hitches around the braid only, then trim.
dropper-loop;Dropper Loop;Side loop;A perpendicular loop in the main line for presenting a side hook without a swivel. Suitable for multi-bait rigs.;assets/images/techniques_v2/dropper-loop.webp;Bream, seabream, pandora, sole;Surfcasting, paternoster;Medium;Mono or fluorocarbon;Keep the turns together and pass the loop through their centre.;Form a large loop at the chosen point on the leader.|Rotate the crossing point 5 to 8 times without twisting the future dropper.|Push the original loop through the center opening made by the turns.|Wet and pull both standing ends and the dropper at the same time.
three-way-swivel-rig;Three-way Swivel Rig;Terminal rig;A three-direction rig separating main line, sinker and hook leader. It reduces tangles while casting and in current.;assets/images/techniques_v2/three-way-swivel-rig.webp;Bream, conger, pandora;Surfcasting, bottom fishing;Easy;Three-way swivel, sinker and leader;Match leader length to the current and check every connection.;Tie the main line to the upper eye of the three-way swivel.|Use a Uni or Clinch suited to the line diameter.|Tighten the first knot and check that the eye moves freely.|Tie the hook leader to the side eye.|Tighten the second knot and trim its tag.|Attach the sinker to a shorter dropper tied to the lower eye.|Attach the hook or lure to the end of the side leader.|Check that all three branches swivel freely and cannot cross.
yucatan;Yucatan Knot;Line connection;A quick join between a doubled main line and a heavier leader. Useful when a strong connection must be tied at sea.;assets/images/techniques_v2/yucatan.webp;Tuna, bonito, amberjack;Jigging, trolling, big game;Medium;Doubled line and mono or fluoro leader;Both leader ends must exit together before tightening.;Double 20 cm of main line and place the leader alongside the doubled line.|Wrap the doubled line around the leader 4 to 6 times for mono or 8 to 10 times for braid.|Pass the leader tag through the end of the doubled loop.|Wet and pull the leader and both legs of the doubled main line.|Draw the wraps together into a compact, even barrel.|Trim only after a firm pull test.
