Spot,Latitude,Longtitude,Infos,Commentaires
بوتيسنت - Boutissent,30.484148999999988,-9.67440599999999,,
واد اورير - Oued aourir,30.50203999999999,-9.680167999999993,,
ايموران - Imouran,30.506867999999987,-9.688003999999992,,
البلاصت - Plage 17,30.52704399999999,-9.693840999999992,,
افتاس ن تاغازوت-Taghazout,30.54407499999999,-9.709547999999993,,
تيمزڭيدا علال-Lassours,30.54931199999999,-9.732586999999993,,
بو  إيردن - Bou irden,30.55186499999999,-9.739602999999992,,
تودديمين - Touddimin,30.558431999999996,-9.742731999999991,,
إبودا - Plage 25,30.569858999999994,-9.745100999999993,,
ازلد - Azzeld,30.574912999999988,-9.75186599999999,,
افتاس إيمي واددار - Imi waddar,30.58533399999999,-9.759186999999994,,
اغروض - Aghrod,30.604091999999994,-9.779794999999993,,
امسدناس - Amsdnas,30.615443999999982,-9.80338899999999,,
موكناري - Mowknari,30.622509999999988,-9.815395999999991,,
افتاس نتيڭرت - Tiguert,30.628133999999985,-9.834344999999992,,
امشتاهال - Amchtahal,30.62852599999999,-9.838869999999993,,
امان واناس - Aman wanas,30.62795499999999,-9.841499999999993,,
تاسڭاورت - Tasggawert,30.62716999999999,-9.843395999999991,,
إيفراتن اوغا - Ifratn owgha,30.625820999999988,-9.85312999999999,,
وازرارڭ - Wazrarag,30.623575999999986,-9.867323999999993,,
تيكورامن - Tigouramin,30.624917999999987,-9.874946999999992,,
إيسك ايزري - Isk izri,30.624753999999992,-9.88010599999999,,
كاب غير - Cap ghir,30.62980999999999,-9.889058999999989,,
تيبحرين - Tibhirin,30.64957399999999,-9.887791999999992,,
البرامل - Lbramel,30.66109099999999,-9.88649299999999,,
إيمي نتڭاولين - Imi ntgawlin,30.678375999999982,-9.880275999999991,,
العلو ايڭنا - Laalou igenna,30.686513999999985,-9.878345999999993,,
بيزڭاغن - Byzgaghen,30.69349099999999,-9.875284999999991,,
تيكرضين - Elgzira,30.702908999999988,-9.867494999999991,,
واد ايتامر - Ait amer,30.711194999999986,-9.857767999999993,,
افدير - Afdir,30.728680999999987,-9.851050999999991,,
تاڭوديت - Tagoudit,30.746040999999988,-9.84058899999999,,
امراد رايس - Amrrad rays,30.75574999999999,-9.834096999999993,,
مماس نسرحان - Mammas,30.761459999999985,-9.830145999999992,,
زاول - Zawl,30.77694999999998,-9.82798099999999,,
اوديغن - Oddighen,30.78144599999998,-9.822196999999992,,
بونفض - Bounnefd,30.794385999999985,-9.814862999999992,,
تيلضي - Tildi,30.808200999999986,-9.806481999999992,,
