Nom,Latitude,Longitude,Poissons,Notes
Baie de l'Étoile (Nouadhibou),20.9310,-17.0347,courbine|otolithe|carangue|cobia|raie guitare,Mauritanie - spot historique du surfcasting mauritanien
Cap Blanc,20.7667,-17.0333,courbine|mérou|badèche,Mauritanie - presqu'île de Nouadhibou
Banc d'Arguin (Iwik),19.8667,-16.3167,courbine|raie guitare|bar moucheté|liche,Mauritanie - parc national - guides imraguens obligatoires
Cap Tafarit,19.3500,-16.4500,courbine|liche|carangue,Mauritanie - spot de rock fishing réputé au sein du Banc d'Arguin
Plage de Nouakchott,18.0858,-16.0721,bar|dorade|thiof,Mauritanie - plages populaires proches de la capitale
Plage de Yoff (Dakar),14.7500,-17.4833,dorade|maquereau|thiof,Sénégal - spot de surfcasting local très fréquenté
Plage de Ngor (Dakar),14.7500,-17.5167,carangue|thiof|mérou,Sénégal - côte rocheuse au sud de la presqu'île dakaroise
Plage de Ouakam (Dakar),14.7167,-17.4833,thiof|carangue|liche,Sénégal - fonds rocheux volcaniques
Saint-Louis du Sénégal,16.0179,-16.4896,ombrine|carpe rouge|capitaine,Sénégal - embouchure du fleuve Sénégal
Saly (Petite Côte),14.4500,-17.0167,thiof|mérou|badèche|sériole,Sénégal - centre de pêche sportive réputé
Cap Skirring,12.4167,-16.7500,capitaine|carpe rouge|raie guitare|tarpon,Sénégal - Casamance - embouchures et plages
Djifère,13.9333,-16.7333,capitaine|carangue|raie guitare,Sénégal - delta du Sine-Saloum
Carabane,12.5333,-16.7333,capitaine|carangue|ombrine,Sénégal - île en Casamance
AMP d'Abéné,12.9167,-16.6667,capitaine|carpe rouge|raie guitare,Sénégal - aire marine protégée en Casamance
Archipel des Bijagós (Orango),11.1500,-16.5000,cobia|barracuda géant|carangue|otolithe|raie|requin,Guinée-Bissau - réserve de biosphère UNESCO - pêche au leurre et surfcasting
Île de Kéré (Bijagós),11.3500,-16.1500,barracuda|carangue|mérou|otolithe,Guinée-Bissau - camp de pêche réputé dans l'archipel
Robertsport (Cotton Tree Point),6.7524,-11.3660,tarpon|carangue|barracuda,Liberia - point break réputé et zone de pêche depuis la plage
Embouchure du fleuve Cavalla (Harper),4.3750,-7.7167,thon|carangue,Liberia - frontière avec la Côte d'Ivoire
Lumley Beach (Freetown),8.4667,-13.2833,carangue|barracuda,Sierra Leone - plage urbaine de Freetown
Tokeh Beach,8.3167,-13.1667,barracuda|carangue|mérou,Sierra Leone - village de pêcheurs - sorties en pirogue
River Number Two Beach,8.3333,-13.1500,carangue|barracuda,Sierra Leone - péninsule de Freetown
Bureh Beach,8.2667,-13.0833,carangue|barracuda,Sierra Leone - spot de surf et pêche - club local
Îles Turtle (Baki),7.4000,-12.9000,carangue|barracuda|mérou,Sierra Leone - archipel isolé de pêcheurs Sherbro
Sulima,6.9833,-11.3667,carangue|barracuda,Sierra Leone - zone reculée proche de la frontière libérienne
Labadi Beach (Accra),5.5500,-0.1667,carangue|thon|barracuda,Ghana - plage populaire d'Accra
Cape Coast,5.1053,-1.2466,mérou|carangue|barracuda,Ghana - ville historique côtière
Elmina,5.0836,-1.3499,carangue|mérou,Ghana - port de pêche historique
Takoradi,4.8845,-1.7554,thon|carangue,Ghana - ville portuaire - base pour Elmina/Cape Coast
Ada Foah (embouchure Volta),5.7833,0.6333,carpe rouge|carangue|tarpon,Ghana - embouchure du fleuve Volta
Keta,5.9167,0.9833,carangue|mulet,Ghana - lagune et plage réputées à l'est
Loango National Park,-2.0000,9.6000,tarpon|carangue géante|cubera|guitarfish,Gabon - surf et lagon quasi vierges - zone sans pêche commerciale sur 10 km
Lagune Ndogo,-1.9667,9.5000,jack|tarpon|carangue,Gabon - embouchure/banc de sable accessible en kayak
Luanda / Mussulo,-8.9000,13.1800,carangue|pompano|barracuda,Angola - restinga et île de Mussulo au sud de la capitale
Embouchure du Kwanza,-9.2967,13.1667,tarpon géant|carangue,Angola - fleuve Kwanza - lodges de pêche réputés
Benguela,-12.5763,13.4055,mulet|carangue|steenbras,Angola - fort courant de Benguela - bonne surf-pêche
Lobito,-12.3646,13.5461,carangue|thon,Angola - bonne pêche de janvier à mi-avril
Namibe / Tombwa,-15.4500,12.0000,tarpon|carangue|requin,Angola - côte désertique au sud - zone Flamingo Lodge
