ID;Nombre;Nombre científico;Familia;Foto URL;Región;Hábitat;Talla mín (cm);Talla máx (cm);Peso mín (kg);Peso máx (kg);Temporada;Técnicas y cebos;Descripción;Consejos;Normativa
bar-europeen;Lubina europea (Róbalo);Dicentrarchus labrax;Moronidae;https://images.pexels.com/photos/14062103/pexels-photo-14062103.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Costas rocosas, estuarios, puertos, playas arenosas. Se mueve entre la superficie y 30m de profundidad.";25;100;0.5;10;"Todo el año, mejor de octubre a marzo. Desova en invierno.";"Surfcasting - Pesca nocturna en playas de arena. Lance lejos más allá de las barras. [Navaja: Cebo rey de la lubina en surfcasting. Ensartar en el asta. | Cangrejo verde: Muy eficaz en invierno, presente en rocas. | Gusano marino (nereis): Excelente en montaje corredizo.] ;; Spinning - Búsqueda activa a lo largo de rocas y espigones. [Señuelo duro (minnow): Imitación de pececillo, nado ondulante. | Señuelo blando (shad): Montaje con cabeza plomada, pesca en diagonal. | Stickbait: Pesca de superficie, paseo del perro.] ;; Señuelo - Pesca con señuelos de superficie al amanecer. [Popper: Ruido superficial, desencadena agresividad. | Jerkbait: Nado errático, tirones secos.]";"La lubina europea (llamada róbalo en el Mediterráneo) es el pez rey de la pesca de orilla. Depredador activo, caza en grupo y sigue los bancos de presas. Sus flancos plateados y su línea lateral marcada lo convierten en un pez elegante. Está presente en todas las costas españolas, del Cantábrico al Mediterráneo.";Privilegie la pesca nocturna y al amanecer. Las corrientes salientes son las más productivas. El viento del oeste trae las lubinas a las playas. Use fluorocarbono para discreción.;"Talla mínima: 42cm (Atlántico) / 36cm (Mediterráneo). Veda del 15 de enero al 15 de marzo en el Mediterráneo. Sin veda en el Atlántico. Cupo: 2 lubinas/día/pescador."
dorade-royale;Dorada real;Sparus aurata;Sparidae;https://images.pexels.com/photos/19993434/pexels-photo-19993434/free-photo-of-fish-on-white-background.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo;"Fondos arenosos, praderas de posidonia, lagunas costeras. De la superficie a 30m.";20;70;0.3;7;Todo el año. Mejor de abril a junio y septiembre a noviembre.;"Surfcasting - Montaje paternoster sobre fondos arenosos. [Navaja: Cebo número 1 para la dorada. | Cangrejo verde: Eficaz en otoño. | Arenícola: Gusano marino muy atractivo.] ;; Paternoster - Montaje con bajos cortos. [Mejillón: Natural y gratuito, recogido en rocas. | Navaja: Lo mejor en el Mediterráneo.] ;; Pesca al coup - Pesca fina desde barco u orilla en fondos de 5-15m. [Gusanos marinos: Nereis y arenícolas ensartados. | Camarón: Vivo o muerto, montaje ligero.]";"La dorada real es la joya del Mediterráneo. Reconocible por su banda dorada entre los ojos, es un pez desconfiado y combativo. Prefiere los fondos arenosos cerca de las praderas. Su carne fina y delicada la convierte en uno de los pescados más apreciados.";"La dorada es muy desconfiada: fluorocarbono obligatorio, montaje discreto. Las horas frescas (amanecer, anochecer) son las más productivas. Cebe pequeño y natural. Una puntera sensible permite ver las picadas finas.";Talla mínima: 20cm en el Mediterráneo. Sin veda específica. Atención a las zonas Natura 2000.
maigre;Corvina (Maigre);Argyrosomus regius;Sciaenidae;https://images.pexels.com/photos/10112459/pexels-photo-10112459.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Estuarios, desembocaduras, playas profundas. De 5m a 100m.";30;180;1;50;Mayo a octubre. Mejor de junio a agosto en los estuarios.;"Surfcasting - Búsqueda en corrientes de estuario, lance pesado. [Sardina entera: Cebo de elección para grandes corvinas. | Jurel vivo: Cebo vivo muy selectivo. | Navaja: Eficaz para corvinas medianas.] ;; Spinning - Búsqueda activa en corrientes con señuelos grandes. [Señuelo duro (minnow 130mm+): Imitación de presa grande. | Señuelo blando (shad 20cm): Pesca en profundidad en corrientes. | Jig metálico: Jigging vertical en fosas.] ;; Jigging - Jigging vertical frente a desembocaduras. [Jig metálico 80-200g: Jigging vertical en zonas profundas.]";"La corvina es el gigante de las costas ibéricas. Este pez potente puede superar 1,50m y 40kg. Remonta los estuarios en verano para alimentarse. Sus colmillos y su potencia lo convierten en un adversario temible. Produce sonidos (gruñidos) característicos.";"Los estuarios (Guadalquivir, Guadiana, Ebro) son los puntos imprescindibles. Pesque las mareas ascendentes. Las corvinas siguen los bancos de presas, detecte las cacerías en superficie. Un equipo robusto es indispensable (caña 30-50 lbs).";"Talla mínima: 70cm en el Atlántico, 30cm en el Mediterráneo. Sin veda. Atención: especie cada vez más escasa, practique la captura y suelta cuando sea posible."
sar-commun;Sargo común;Diplodus sargus;Sparidae;https://images.pexels.com/photos/7315078/pexels-photo-7315078.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo;"Rocas, espigones, puertos, cantiles. De 0 a 30m.";15;45;0.2;2;Todo el año. Mejor en otoño e invierno.;"Surfcasting - Pesca a corta distancia cerca de rocas. [Cangrejo verde: El cebo rey del sargo. | Navaja: Muy eficaz en invierno.] ;; Paternoster - Montaje ligero al pie de los espigones. [Trozo de mejillón: Natural y muy apreciado. | Gusano marino: Montaje fino con anzuelo pequeño.] ;; Pesca al coup - Pesca fina en puerto o espigones. [Camarón vivo: Irresistible para los sargos. | Trozo de cangrejo: Eficaz en invierno.]";"El sargo común es uno de los espáridos más comunes en el Mediterráneo. Reconocible por sus bandas verticales negras, vive en grupo cerca de las rocas. Pez omnívoro, se alimenta de crustáceos, moluscos y algas. Su combatividad es sorprendente para su tamaño.";"Los sargos son muy desconfiados. Pesque fino: fluorocarbono 20/100 máximo, anzuelos del 4 al 6. Cebe pequeño. Las zonas con obstáculos (rocas, espigones) son las más productivas pero con riesgo de enganche.";Talla mínima: 15cm en el Mediterráneo. Sin veda.
dorade-grise;Chopa (Griset);Spondyliosoma cantharus;Sparidae;https://images.pexels.com/photos/33654184/pexels-photo-33654184/free-photo-of-fresh-bream-display-at-seafood-market.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Fondos rocosos, praderas, pecios. De 5 a 50m.";15;60;0.2;3;Todo el año. Mejor en invierno y primavera.;"Surfcasting - Búsqueda en fondos mixtos arena/roca. [Cangrejo verde: Cebo principal para la chopa. | Navaja: Eficaz en período frío. | Gusano nereis: Buen complemento.] ;; Paternoster - Montaje ligero sobre fondos de roca. [Mejillón: Muy natural y eficaz. | Cangrejo: Cebo clásico de la chopa.] ;; Pesca al coup - Pesca fina desde barco sobre praderas. [Gusanos marinos mezclados: Engodo + cebo para maximizar picadas.]";"La chopa (o griset) es un espárido rechoncho de cuerpo gris-azulado. Prefiere los fondos rocosos y las praderas. Menos prestigiosa que la dorada real, ofrece sin embargo buenas jornadas de pesca y una carne agradable. Se pesca todo el año con cebos naturales.";"La chopa pica a menudo de forma muy discreta. Vigile la puntera y clave a la menor señal. Los períodos de corriente son los más activos. Cangrejo verde entero en invierno, troceado en verano.";Talla mínima: 15cm. Sin veda.
mulet;Múgil (Lisa);Chelon labrosus;Mugilidae;https://images.pexels.com/photos/19224095/pexels-photo-19224095/free-photo-of-close-up-of-a-pile-of-freshly-caught-fish.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Puertos, estuarios, lagunas, costas arenosas. De 0 a 10m.";20;60;0.3;3;Todo el año. Muy activo en verano.;"Pesca al coup - Pesca a plomada o con flotador y engodo. [Pan / miga de pan: Cebo tradicional del múgil. | Pasta de pescado: Engodo muy atractivo. | Gusanos marinos: Eficaz en período frío.] ;; Pesca a la bomba - Pesca a la bomba con engodo concentrado. [Bomba de pan: Mezcla pan/salvado concentrada.] ;; Surfcasting - Pesca en estuarios y playas. [Gusanos marinos: Montaje clásico con bajo largo. | Camarón: Vivo preferentemente.]";"El múgil (o lisa) es un pez gregario muy común en las zonas costeras y portuarias. Reconocible por su labio grueso, se alimenta de microorganismos y algas. Su pesca es técnica ya que tiende a robar el cebo sin clavarse. Excelente combatiente, hace buenas carreras bajo la caña.";Engode generosamente para mantener el banco. Cebe pequeño y ajuste la profundidad. Los múgiles son desconfiados: discreción absoluta. Un flotador muy sensible (waggler) permite ver las picadas más leves.;Talla mínima: 20cm. Sin veda.
sardine;Sardina;Sardina pilchardus;Clupeidae;https://images.pexels.com/photos/20121102/pexels-photo-20121102/free-photo-of-close-up-of-fish.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Pelágico, bancos en superficie y media agua. Costas y mar abierto.";10;25;0.02;0.15;Mayo a octubre. Mejor en verano.;"Pesca al coup - Pesca a plomada o con flotador y engodo. [Pasta de sardina: Engodo local muy atractivo. | Gusanos finos: Cebo ligero montado en anzuelo 12-14.] ;; Pesca a la bomba - Pesca a la bomba, muy productiva en verano. [Bomba de harina de pescado: Nube atractiva en superficie.]";"La sardina es el pez emblemático de las costas mediterráneas y atlánticas. Este pequeño pelágico se mueve en bancos inmensos y es la base de la cadena alimentaria marina. Se pesca fácilmente desde orilla en verano y constituye también un excelente cebo para los depredadores (lubina, corvina, atún).";"Engode en superficie para concentrar el banco. Pesque muy fino: anzuelos 12-14, hilo fino. Las tardes de verano, las sardinas entran en los puertos. Su pesca es amena y productiva.";Talla mínima: 11cm. Sin veda.
thon-rouge;Atún rojo;Thunnus thynnus;Scombridae;https://images.pexels.com/photos/35443147/pexels-photo-35443147.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Mar abierto, se acerca a las costas en verano. Pelágico, de la superficie a 200m.";60;300;5;400;Junio a octubre. Se acerca a las costas en verano.;"Spinning - Pesca emocionante desde orilla cuando los atunes se acercan. [Señuelo stickbait grande: Imitación de presa, pesca en superficie. | Popper gigante: Pesca explosiva en superficie. | Señuelo blando shad grande: Pesca en profundidad bajo los bancos.] ;; Jigging - Jigging vertical sobre los bancos en mar abierto. [Jig metálico 100-300g: Pesca profunda y técnica.] ;; Cebo vivo - Pesca al vivo con cebo grande. [Jurel vivo: Cebo de elección para el atún de orilla. | Sardina viva: Montaje a la deriva bajo flotador.]";"El atún rojo es el rey de los mares. Este gigante pelágico puede superar 3 metros y 400 kg. Se acerca a las costas en verano para alimentarse, ofreciendo oportunidades de pesca emocionantes desde orilla. Su velocidad (hasta 70 km/h) y su potencia lo convierten en uno de los peces más deportivos de capturar.";"Los atunes se acercan a las costas en las mismas zonas que las lubinas pero más profundas. Equipo pesado indispensable: caña 50-80 lbs, trenzado 50/100 mínimo. Los amaneceres con poco viento son los mejores momentos.";"Talla mínima: 115cm (30kg) en el Atlántico, 70cm en el Mediterráneo. Pesca muy regulada: licencias específicas, cupos estrictos. Infórmese sobre las normativas vigentes."
bonite;Bonito del Atlántico;Sarda sarda;Scombridae;https://images.pexels.com/photos/13805808/pexels-photo-13805808.jpeg?auto=compress&cs=tinysrgb&w=600;Mediterráneo y Atlántico;"Pelágico, bancos en superficie. Se acerca a las costas en verano.";30;80;1;8;Junio a octubre. Mejor julio-agosto.;"Spinning - Búsqueda activa cuando los bancos cazan en superficie. [Señuelo duro (minnow): Velocidad de recogida rápida. | Señuelo blando (shad): Pesca bajo las cacerías. | Jig metálico ligero: Lance al centro del banco.] ;; Arrastre - Arrastre ligero desde orilla o barco. [Señuelo de arrastre: Rápido, imitando un pececillo en fuga.] ;; Jigging - Jigging bajo las cacerías con jig metálico pequeño. [Jig 20-60g: Recogida rápida y a tirones.]";"El bonito es un pequeño túnido muy activo en verano. Caza en banco en la superficie, creando cacerías espectaculares. Su carne roja y sabrosa lo convierte en un excelente pescado de mesa. Menos potente que el atún rojo, sigue siendo un combatiente deportivo con equipo ligero.";Detecte las cacerías en superficie (gaviotas zambulléndose, agua que hierve). Lance al corazón de la acción. Recogida rápida obligatoria. Equipo spinning 10-30g es más que suficiente.;Talla mínima: 40cm en el Atlántico. Sin veda específica.
lieu-jaune;Abadejo (Pollack);Pollachius pollachius;Gadidae;https://images.pexels.com/photos/2042564/pexels-photo-2042564.jpeg?auto=compress&cs=tinysrgb&w=600;Océano Atlántico;"Rocas, pecios, cantiles. De 5 a 100m.";30;130;1;15;Todo el año. Mejor de octubre a abril.;"Spinning - Pesca a señuelos en zonas rocosas. [Señuelo duro (minnow): Imitación de pececillo con nado errático. | Señuelo blando (shad): Montaje con cabeza plomada en cantiles. | Jerkbait: Tirones agresivos para desencadenar el ataque.] ;; Jigging - Jigging vertical en pecios y cantiles. [Jig metálico 40-150g: Pesca profunda en estructuras. | Señuelo blando grande: Montaje pesado en pecios profundos.] ;; Surfcasting - Pesca nocturna en playas rocosas. [Sardina en trozos: Cebo de fondo muy atractivo. | Jurel: Entero o en trozos.]";"El abadejo es un gádido potente muy presente en las costas atlánticas. Prefiere las zonas rocosas y los pecios donde caza en grupo. Su mandíbula prominente y su aleta anal característica lo distinguen del carbonero. Excelente combatiente, es muy buscado en la pesca deportiva.";"El abadejo es un depredador activo. Pesque en movimiento, prospecte. Los cantiles y los pecios son sus puestos de caza favoritos. El jigging es la técnica reina para los grandes ejemplares.";Talla mínima: 30cm. Sin veda.
