ID;الاسم;الفئة;الوصف;رابط الصورة;الأسماك المستهدفة;التقنية;الصعوبة;المواد المطلوبة;نصائح;Etapes
palomar;عقدة بالومار;الخيط إلى الخطاف;وصلة موثوقة للخطافات والحلقات والطُعم. يوزع الخيط المزدوج الحمل وتناسب العقدة الخيط المجدول خصوصاً.;assets/images/techniques_v2/palomar.webp;القاروص، الدنيس، التونة;سبيننغ، جيغنغ، صيد الشاطئ;سهل;خيط مجدول أو نايلون أو فلوروكربون;حافظ على توازي الطرفين وبلل العقدة قبل الشد النهائي.;ضاعف نحو 25 سم من الخيط ومرّر الحلقة داخل عين الخطاف.|اصنع عقدة بسيطة واسعة بالخيط المزدوج.|اسحب الحلقة الكبيرة من دون التواء الفرعين.|مرّر الخطاف أو الطعم كاملاً داخل الحلقة الكبيرة.|أعد الحلقة فوق العين وخلف الخطاف.|بلّل العقدة واسحب الخيط الرئيسي والطرف الحر معاً.|تأكد من توازي الفرعين ثم اقطع الزائد.
uni;عقدة يوني (جرينر);الخيط إلى الخطاف;عقدة متعددة الاستخدامات لربط الخيط بخطاف أو دوار أو طُعم. تعمل مع معظم الخيوط الأحادية والمجدولة.;assets/images/techniques_v2/uni.webp;القاروص، الأنقليس، التونة;جميع التقنيات;سهل;نايلون أو فلوروكربون أو مجدول;اصنع حلقة كبيرة ونفذ خمساً إلى سبع لفات منتظمة.;مرّر الطرف الحر داخل العين واترك نحو 20 سم.|أعد الطرف للخلف لتكوين حلقة كبيرة موازية للخيط الرئيسي.|لف الطرف 5 إلى 7 لفات داخل الحلقة حول الفرعين.|بلّل العقدة واسحب الطرف حتى تنتظم اللفات.|حرّك العقدة نحو العين وشدها ثم اقطع الزائد.
improved-clinch;عقدة كلينش المحسنة;الخيط إلى الخطاف;وصلة مدمجة للخطافات والمشابك والطُعم الصغير. المرور الأخير يقفل اللفات حول الخيط الرئيسي.;assets/images/techniques_v2/improved-clinch.webp;الدنيس، الشرغو، المرجان;صيد الشاطئ، صيد القاع;سهل;نايلون أو فلوروكربون;نفذ خمساً إلى سبع لفات من دون تراكب.;مرّر 15 إلى 20 سم من الخيط داخل العين.|لف الطرف الحر 5 إلى 7 مرات حول الخيط الرئيسي.|مرّر الطرف داخل الحلقة الصغيرة فوق العين مباشرة.|ثم مرّره داخل الحلقة الكبيرة التي تكوّنت.|بلّل العقدة واسحب الخيط الرئيسي تدريجياً ثم اقطع الزائد.
rapala;عقدة رابالا;حلقة طرفية;حلقة ثابتة تسمح للطُعم الصلب والجيغ الخفيف بالحركة بحرية. يبقى قطرها ثابتاً بعد الشد.;assets/images/techniques_v2/rapala.webp;القاروص، البونيتو، التونة;سبيننغ، جر خفيف;متوسط;نايلون أو فلوروكربون;اضبط حجم الحلقة قبل شد اللفات.;اصنع عقدة بسيطة واسعة ثم مرّر الطرف في عين الطعم وأعده داخل العقدة.|لف الطرف 3 لفات منتظمة حول الخيط الرئيسي.|أعد الطرف داخل العقدة البسيطة ثم داخل الحلقة الكبيرة الجديدة.|بلّل وشد مع إبقاء الحلقة الصغيرة أمام الطعم مفتوحة.
blood;عقدة الدم;وصل الخيوط;وصلة متناظرة بين خيطين أحاديين متقاربين في القطر. تتقابل اللفات وتثبت في الوسط.;assets/images/techniques_v2/blood.webp;جميع الأنواع;تجهيز القادة، صيد الذباب;متوسط;خيطان متقاربان من النايلون أو الفلورو;استخدم العدد نفسه من اللفات في الجانبين وشد بعد الترطيب.;ضع الخيطين متوازيين ومتداخلين لمسافة 15 سم.|لف الطرف الأول 5 إلى 7 مرات حول الخيط المقابل.|أعد الطرف إلى الوسط ومرّره في الفتحة بين الخيطين.|لف الطرف الآخر 5 إلى 7 مرات بالاتجاه المعاكس.|مرّر الطرف الثاني في الفتحة نفسها بعكس اتجاه الأول.|بلّل واسحب الخيطين الرئيسيين ببطء لتجميع اللفات.|اقطع الطرفين على بعد بضعة مليمترات.|تأكد من تماثل مجموعتي اللفات وتراصهما.
albright;عقدة أولبرايت;وصل الخيوط;وصلة مدمجة بين خيط رفيع وقائد أكثر سماكة. تناسب المواد والأقطار المختلفة.;assets/images/techniques_v2/albright.webp;القاروص، الشيم، التونة;سبيننغ، صيد الشاطئ، الجر;متوسط;مجدول مع نايلون أو فلوروكربون;يجب أن يدخل الطرف الرفيع ويخرج من الجانب نفسه للحلقة السميكة.;اصنع حلقة بالخيط السميك ومرّر الخيط الرفيع خلالها.|لف الخيط الرفيع 8 إلى 12 مرة حول فرعي الحلقة.|ارجع نحو نقطة الدخول مع إبقاء اللفات متلاصقة.|مرّر الطرف الرفيع داخل الحلقة من جهة دخوله نفسها.|بلّل واسحب الخيطين الرئيسيين تدريجياً لترتيب اللفات.|شد جيداً واقطع الطرفين قريباً من العقدة.
fg;عقدة FG;وصلة الصيد الكبير;وصلة احتكاك رفيعة جداً يلتف فيها المجدول المشدود بالتناوب حول القائد. تمر بسهولة عبر حلقات القصبة.;assets/images/techniques_v2/fg.webp;التونة، السريولا، الشيم;جيغنغ، بوبينغ، سبيننغ;صعب;مجدول وقائد فلوروكربون أو نايلون;حافظ على شد قوي في كل تقاطع وأنهِ بأنصاف عقد.;أبق قائد الفلوروكربون مشدوداً واعبر الجديلة فوقه.|بدّل الجديلة يميناً ويساراً لصنع 16 إلى 22 تقاطعاً محكماً.|شد الجديلة بعد كل تقاطع لتعض اللفات في الفلوروكربون.|ثبّت النسج بنصف عقدة حول الجديلة والقائد معاً.|اصنع نصف عقدة ثانية بالعكس واسحب الخيطين بقوة.|يجب أن تظهر علامة خفيفة على الفلوروكربون من دون سحقه.|اقطع الفلوروكربون بمحاذاة العقدة من دون جرح الجديلة.|اختم بـ3 إلى 5 أنصاف عقد متعاكسة حول الجديلة وحدها ثم اقطع.
dropper-loop;حلقة دروبر الجانبية;حلقة جانبية;حلقة عمودية على الخيط الرئيسي لتقديم خطاف جانبي من دون دوار. مناسبة لتركيبات الطعوم المتعددة.;assets/images/techniques_v2/dropper-loop.webp;الدنيس، الشرغو، المرجان، موسى;صيد الشاطئ، باترنوستر;متوسط;نايلون أو فلوروكربون;اجمع اللفات ومرر الحلقة من وسطها.;اصنع حلقة كبيرة في الموضع المختار من القائد.|دوّر نقطة التقاطع 5 إلى 8 مرات من دون لف الفرع الجانبي.|مرّر الحلقة الأصلية داخل الفتحة الوسطى الناتجة.|بلّل واسحب الطرفين والفرع الجانبي في الوقت نفسه.
three-way-swivel-rig;تركيبة دوار ثلاثي;تركيبة طرفية;تركيبة بثلاثة اتجاهات تفصل الخيط الرئيسي والثقل والقائد. تقلل التشابك أثناء الرمي وفي التيار.;assets/images/techniques_v2/three-way-swivel-rig.webp;الدنيس، الأنقليس، المرجان;صيد الشاطئ، صيد القاع;سهل;دوار ثلاثي وثقل وقائد;اضبط طول القائد حسب التيار وافحص كل وصلة.;اربط الخيط الرئيسي بالحلقة العلوية للدوّار الثلاثي.|استعمل عقدة Uni أو Clinch مناسبة لقطر الخيط.|شد العقدة الأولى وتأكد من حرية حركة الحلقة.|اربط قائد الخطاف بالحلقة الجانبية.|شد العقدة الثانية واقطع الطرف الزائد.|ثبّت الثقل في فرع أقصر مربوط بالحلقة السفلية.|أضف الخطاف أو الطعم في نهاية القائد الجانبي.|تأكد من أن الفروع الثلاثة تدور بحرية ولا تتقاطع.
yucatan;عقدة يوكاتان;وصل الخيوط;وصلة سريعة بين خيط رئيسي مزدوج وقائد أقوى. مفيدة لعمل اتصال قوي في البحر.;assets/images/techniques_v2/yucatan.webp;التونة، البونيتو، السريولا;جيغنغ، الجر، الصيد الكبير;متوسط;خيط مزدوج وقائد نايلون أو فلورو;يجب أن يخرج طرفا القائد معاً قبل الشد.;ضاعف 20 سم من الخيط الرئيسي وضع القائد بمحاذاته.|لف الخيط المزدوج حول القائد 4 إلى 6 مرات للنايلون أو 8 إلى 10 للجديلة.|مرّر طرف القائد داخل نهاية الحلقة المزدوجة.|بلّل واسحب القائد وفرعي الخيط المزدوج.|اجمع اللفات لتكوين أسطوانة متراصة ومنتظمة.|لا تقطع الزوائد إلا بعد اختبار شد قوي.
